fold,test_loss,test_accuracy
1,0.28918036818504333,0.903095543384552
2,0.30845552682876587,0.88559889793396
3,0.3080502152442932,0.903095543384552
4,0.3900989294052124,0.9098250269889832
5,0.38380175828933716,0.8990578651428223
