fold,test_loss,test_accuracy
1,0.32395854592323303,0.8761776685714722
2,0.32218384742736816,0.8734858632087708
3,0.35313597321510315,0.8573351502418518
4,0.38290730118751526,0.8532974720001221
5,0.3321739733219147,0.8734858632087708
