accuracy,loss,val_accuracy,val_loss,learning_rate
0.7177374958992004,0.5765000581741333,0.7723279595375061,0.506871223449707,0.0010000000474974513
0.7530660629272461,0.5264851450920105,0.7862371802330017,0.4553539454936981,0.0010000000474974513
0.7404356598854065,0.5436229705810547,0.7525622248649597,0.5430585145950317,0.0010000000474974513
0.7353102564811707,0.5449748635292053,0.6910688281059265,0.5803383588790894,0.0010000000474974513
0.7550796270370483,0.5179517269134521,0.8023425936698914,0.4542953372001648,0.0010000000474974513
0.7854658365249634,0.4748678505420685,0.8081991076469421,0.452402800321579,0.0010000000474974513
0.7874794006347656,0.47072112560272217,0.8155197501182556,0.437295526266098,0.0010000000474974513
0.7847336530685425,0.479449987411499,0.8067349791526794,0.475569486618042,0.0010000000474974513
0.7779608368873596,0.4993803799152374,0.8308930993080139,0.43517905473709106,0.0010000000474974513
0.7944352626800537,0.4765602648258209,0.782576858997345,0.5070821046829224,0.0010000000474974513
0.817316472530365,0.43603894114494324,0.8462664484977722,0.3852154016494751,0.0010000000474974513
0.8211605548858643,0.41448789834976196,0.8404099345207214,0.38161835074424744,0.0010000000474974513
0.8420282006263733,0.3902081251144409,0.852122962474823,0.36638203263282776,0.0010000000474974513
0.8442248106002808,0.3829585611820221,0.8506588339805603,0.3577668070793152,0.0010000000474974513
0.8469705581665039,0.3673717975616455,0.8594436049461365,0.3633958697319031,0.0010000000474974513
0.8098114728927612,0.4261702001094818,0.7803806662559509,0.4658856689929962,0.0010000000474974513
0.8050521612167358,0.44107764959335327,0.8455343842506409,0.3768070638179779,0.0010000000474974513
0.7971810102462769,0.4613732695579529,0.8338213562965393,0.42160287499427795,0.0010000000474974513
0.8037708401679993,0.4550423324108124,0.8111273646354675,0.4437035918235779,0.0010000000474974513
0.8169503808021545,0.41180652379989624,0.8484626412391663,0.38482388854026794,0.0005000000237487257
