accuracy,loss,val_accuracy,val_loss,learning_rate
0.6776496171951294,0.6445691585540771,0.6896046996116638,0.6228804588317871,0.0010000000474974513
0.6794801354408264,0.6310499310493469,0.6896046996116638,0.6207334995269775,0.0010000000474974513
0.6794801354408264,0.6142736673355103,0.6896046996116638,0.5948771238327026,0.0010000000474974513
0.6862529516220093,0.5871215462684631,0.7518301606178284,0.5302711725234985,0.0010000000474974513
0.7071206569671631,0.5584304332733154,0.7071742415428162,0.5354403257369995,0.0010000000474974513
0.7162731289863586,0.5510383248329163,0.6896046996116638,0.5701581835746765,0.0010000000474974513
0.7063884139060974,0.5633588433265686,0.7613469958305359,0.5110774040222168,0.0010000000474974513
0.7508695125579834,0.5157281756401062,0.7862371802330017,0.5220206379890442,0.0010000000474974513
0.7717371582984924,0.5041632652282715,0.7972181439399719,0.4777410328388214,0.0010000000474974513
0.7907742857933044,0.49567097425460815,0.717423141002655,0.5215972661972046,0.0010000000474974513
0.771371066570282,0.49133098125457764,0.8118594288825989,0.4479571282863617,0.0010000000474974513
0.8015742301940918,0.4648868441581726,0.8177159428596497,0.4284842312335968,0.0010000000474974513
0.8131063580513,0.4505538046360016,0.7540263533592224,0.5115354061126709,0.0010000000474974513
0.7647812366485596,0.49168166518211365,0.8294289708137512,0.4574846029281616,0.0010000000474974513
0.8129233121871948,0.45880019664764404,0.837481677532196,0.4229622483253479,0.0010000000474974513
0.8372688889503479,0.4292624890804291,0.8323572278022766,0.43788108229637146,0.0010000000474974513
0.8467874526977539,0.4108407497406006,0.8221083283424377,0.41730254888534546,0.0010000000474974513
0.801757276058197,0.449368953704834,0.7730600237846375,0.454154908657074,0.0010000000474974513
0.8189639449119568,0.4308834373950958,0.8418740630149841,0.4083094596862793,0.0010000000474974513
0.819146990776062,0.4386345446109772,0.8235724568367004,0.414764404296875,0.0010000000474974513
