accuracy,loss,val_accuracy,val_loss,learning_rate
0.7107816338539124,0.5759285092353821,0.7540263533592224,0.5367952585220337,0.0010000000474974513
0.7552626729011536,0.5150748491287231,0.8008784651756287,0.480171263217926,0.0010000000474974513
0.7865641713142395,0.4845232665538788,0.7913616299629211,0.475581556558609,0.0010000000474974513
0.6798462271690369,0.601585865020752,0.6896046996116638,0.5593419075012207,0.0010000000474974513
0.7212154269218445,0.546517014503479,0.7862371802330017,0.5071598291397095,0.0010000000474974513
0.7680761218070984,0.5039211511611938,0.7430453896522522,0.5057950615882874,0.0010000000474974513
0.7691744565963745,0.517898440361023,0.8323572278022766,0.41720932722091675,0.0010000000474974513
0.828665554523468,0.4429130256175995,0.8448023200035095,0.40266183018684387,0.0010000000474974513
0.8211605548858643,0.4504774510860443,0.8411419987678528,0.4239131212234497,0.0010000000474974513
0.8356214761734009,0.42487597465515137,0.8191800713539124,0.42925265431404114,0.0010000000474974513
0.8541094660758972,0.3864182233810425,0.8653001189231873,0.34468281269073486,0.0010000000474974513
0.8438586592674255,0.38649365305900574,0.8587115406990051,0.3493339717388153,0.0010000000474974513
0.6847885847091675,0.5903420448303223,0.6896046996116638,0.5668725371360779,0.0010000000474974513
0.7387881875038147,0.5080526471138,0.7774524092674255,0.4765439033508301,0.0010000000474974513
0.8123741745948792,0.43355295062065125,0.8389458060264587,0.3936912715435028,0.0010000000474974513
0.8370858430862427,0.39808279275894165,0.8513908982276917,0.3834178149700165,0.0010000000474974513
0.8542925119400024,0.3680579960346222,0.854319155216217,0.3667648136615753,0.0005000000237487257
0.8515467643737793,0.35410022735595703,0.8535870909690857,0.3438367545604706,0.0005000000237487257
0.8597840070724487,0.34220242500305176,0.8579794764518738,0.33150941133499146,0.0005000000237487257
0.8691195249557495,0.3312613070011139,0.8579794764518738,0.33789053559303284,0.0005000000237487257
