fold,test_loss,test_accuracy
1,0.27846911549568176,0.88559889793396
2,0.41308093070983887,0.8196500539779663
3,0.2872432470321655,0.8869448304176331
4,0.3024192750453949,0.8802153468132019
5,0.3184947669506073,0.8721399903297424
