fold,test_loss,test_accuracy
1,0.3414086401462555,0.8936743140220642
2,0.28187131881713867,0.9044414758682251
3,0.5364328622817993,0.9057873487472534
4,0.31437060236930847,0.9057873487472534
5,0.33499929308891296,0.9044414758682251
