fold,test_loss,test_accuracy
1,0.26712846755981445,0.9232839941978455
2,0.34606361389160156,0.9192463159561157
3,0.34406790137290955,0.9125168323516846
4,0.4748184084892273,0.9179003834724426
5,0.3948636054992676,0.9044414758682251
